建物名,住所,lng,lat
二反野ふれあい公園,宮崎県綾町大字南俣5176-4,131.227897134072,31.9817144033938
尾立ふれあい公園,宮崎県綾町大字北俣4926-5,131.221538,32.017897
錦原運動公園,宮崎県綾町大字南俣2868,131.245497,32.002097
錦原馬事公苑,宮崎県綾町大字北俣2687,131.241316,32.005683
自然休養村公園,宮崎県綾町大字北俣3739,131.244266,32.016732
高鍋町美術館,宮崎県児湯郡高鍋町大字南高鍋6916-1,131.50372504106,32.120903666297
めいりんの湯,宮崎県児湯郡高鍋町大字上江6900,131.47872737343,32.11932211315
高鍋西小学校（体育館）,宮崎県児湯郡高鍋町大字上江1951,131.50278065741,32.138891180878
高鍋西中学校（体育館）,宮崎県児湯郡高鍋町大字持田1524,131.50717249999,32.141659994952
高鍋町中央公民館,宮崎県児湯郡高鍋町大字上江8113,131.50530994261,32.131338206699
東児湯消防組合,宮崎県児湯郡高鍋町大字上江4526,131.5005753902,32.154889918638
高鍋町スポーツセンター,宮崎県児湯郡高鍋町大字上江7790,131.4995346931,32.127686319673
高鍋町体育館,宮崎県児湯郡高鍋町大字上江8339,131.50488013918,32.130645619646
高鍋町防災センター（役場来客駐車場内）,宮崎県児湯郡高鍋町大字上江8437,131.50309869178,32.128382452094
高鍋町ふれあい交流センター（福祉避難所）,宮崎県児湯郡高鍋町大字上江7785,131.49876629819,32.129122089207
農業大学校（体育館）,宮崎県児湯郡高鍋町大字持田5733,131.52128114031,32.167961915193
社会福祉法人　晴陽会　うからの里（福祉避難所）,宮崎県児湯郡高鍋町大字上江7778,131.49703607958,32.130804342587
高鍋農業高等学校（体育館）,宮崎県児湯郡高鍋町大字上江1339-2,131.50517462527,32.123443959274
中央公民館,宮崎県新富町大字上富田7485-14,131.4866157,32.06925817
町体育館,宮崎県新富町大字上富田7485-4,131.4865084,32.06875812
文化会館,宮崎県新富町大字上富田6367-1,131.4835848,32.06993095
富田小学校（運動場）,宮崎県新富町大字上富田7694-2,131.4935242,32.06901807
富田小学校（講堂）,宮崎県新富町大字上富田7694-2,131.492977,32.06787251
富田中学校（運動場）,宮崎県新富町大字上富田7776-1,131.4955144,32.07030909
富田中学校（体育館）,宮崎県新富町大字上富田7776-1,131.4947097,32.06976813
