施設種別,建物名,住所,想定収容人数,MHトイレ基数,lng,lat
指定避難所兼指定緊急避難場所,宮崎市宮崎地区交流センター,宮崎市吉村町ハシテ甲2386-139,390,0,131.442903,31.908864
指定避難所兼指定緊急避難場所,宮崎市立宮崎港小学校,宮崎市吉村町南浜田甲4261,427,0,131.451166,31.910457
指定避難所兼指定緊急避難場所,宮崎市立大淀小学校,宮崎市淀川2-3-7,455,0,131.416414,31.903322
指定避難所兼指定緊急避難場所,宮崎市立大淀中学校,宮崎市天満1-2-6,640,7,131.414408,31.901458
指定避難所兼指定緊急避難場所,宮崎県立宮崎工業高等学校,宮崎市天満町9-1,727,0,131.412836,31.899923
指定避難所兼指定緊急避難場所,宮崎市大淀公民館,宮崎市京塚2-1-18,280,0,131.411322,31.898248
指定避難所兼指定緊急避難場所,宮崎市総合福祉保健センター,宮崎市花山手東3-25-2,152,0,131.40048,31.89931
指定避難所兼指定緊急避難場所,宮崎市立古城小学校,宮崎市古城町山ノ城5735,257,0,131.387968,31.893431
指定避難所兼指定緊急避難場所,源藤自治公民館,宮崎市源藤町堤下514-3,31,0,131.414938,31.885545
指定避難所兼指定緊急避難場所,宮崎市立宮崎南小学校,宮崎市源藤町池ノ内702,455,0,131.413016,31.882608
指定避難所兼指定緊急避難場所,栄進・進学教室大淀校,宮崎市太田4-4-25,60,0,131.420688,31.897658
指定避難所兼指定緊急避難場所,宮崎看護専門学校体育館,宮崎市大坪西1-2-3,100,0,131.40442,31.896383
指定避難所兼指定緊急避難場所,大塚町中区自治公民館,宮崎市大塚町樋ノ口1992-1,150,0,131.398157,31.91897
指定避難所兼指定緊急避難場所,多宝寺,宮崎市大塚町六ツ合686,20,0,131.400625,31.924888
指定避難所兼指定緊急避難場所,宮崎市立大塚中学校,宮崎市大塚町鎌ケ迫2296,524,6,131.389476,31.919887
指定避難所兼指定緊急避難場所,宮崎市大塚公民館,宮崎市大塚町鎌ケ迫2296-3,290,0,131.389642,31.918791
指定避難所兼指定緊急避難場所,宮崎市立大塚小学校,宮崎市大塚町鎌ケ迫2296-2,440,0,131.389219,31.917796
指定避難所兼指定緊急避難場所,宮崎県立宮崎西高等学校,宮崎市大塚町柳ケ迫3975-2,658,0,131.386457,31.907968
指定避難所兼指定緊急避難場所,宮崎市立江南小学校,宮崎市江南4-26-1,450,0,131.39499,31.903901
指定避難所兼指定緊急避難場所,宮崎市立宮崎西小学校,宮崎市大塚台西2-19-1,582,6,131.384387,31.91494
指定避難所兼指定緊急避難場所,大塚台西３丁目地区コミュニティーセンター,宮崎市大塚台西3-15-18,60,0,131.382667,31.908654
指定避難所兼指定緊急避難場所,宮崎市大塚台児童センター,宮崎市大塚台西3-22-3,90,0,131.38283,31.910757
指定避難所兼指定緊急避難場所,宮崎市立生目台中学校,宮崎市生目台東4-1-1,528,6,131.379801,31.904323
指定避難所兼指定緊急避難場所,宮崎市立生目台東小学校,宮崎市生目台東4-2-1,567,0,131.378036,31.903101
指定避難所兼指定緊急避難場所,宮崎市立生目台西小学校,宮崎市生目台西2-1-1,573,0,131.372318,31.904488
指定避難所兼指定緊急避難場所,宮崎市立小松台小学校,宮崎市小松台西1-10-9,539,6,131.393824,31.932957
指定避難所兼指定緊急避難場所,桜ヶ丘集会所,宮崎市桜ヶ丘町24-22,100,0,131.399838,31.930248
指定避難所兼指定緊急避難場所,宮崎市立赤江小学校,宮崎市大字恒久556,451,5,131.429934,31.888394
指定避難所兼指定緊急避難場所,宮崎県立宮崎農業高等学校,宮崎市大字恒久春日田1061,748,0,131.42423,31.885907
指定避難所兼指定緊急避難場所,吉永センター,宮崎市大字恒久字吉永1287-3,32,0,131.418781,31.886797
